,Year,Female,Male,Births,Country
28,2003,237309,257727,495036,KOR
29,2004,229123,247835,476958,KOR
30,2005,211115,227592,438707,KOR
31,2006,217649,234110,451759,KOR
32,2007,240950,255872,496822,KOR
33,2008,225773,240119,465892,KOR
34,2009,215498,229351,444849,KOR
35,2010,227270,242901,470171,KOR
36,2011,229144,242121,471265,KOR
37,2012,235592,248958,484550,KOR
38,2013,212572,223883,436455,KOR
39,2014,212079,223356,435435,KOR
40,2015,213514,224906,438420,KOR
41,2016,198179,208064,406243,KOR
42,2017,173463,184308,357771,KOR
43,2018,159136,167686,326822,KOR
44,2019,147260,155416,302676,KOR
45,2020,132975,139362,272337,KOR
170,2003,546879,576747,1123626,JPN
171,2004,541182,569580,1110762,JPN
172,2005,517512,545060,1062572,JPN
173,2006,532263,560469,1092732,JPN
174,2007,530040,559939,1089979,JPN
175,2008,531902,559814,1091716,JPN
176,2009,521271,549247,1070518,JPN
177,2010,520815,550989,1071804,JPN
178,2011,512753,538531,1051284,JPN
179,2012,505644,532003,1037647,JPN
180,2013,502363,527891,1030254,JPN
181,2014,488269,515792,1004061,JPN
182,2015,490518,515738,1006256,JPN
183,2016,475561,502319,977880,JPN
184,2017,461878,484681,946559,JPN
185,2018,447743,471062,918805,JPN
186,2019,422005,443620,865625,JPN
187,2020,410269,430884,841153,JPN
188,2021,395719,415903,811622,JPN
281,2003,108229,119218,227447,TWN
282,2004,103336,114349,217685,TWN
283,2005,98768,107697,206465,TWN
284,2006,98142,107578,205720,TWN
285,2007,97141,106570,203711,TWN
286,2008,93718,102768,196486,TWN
287,2009,92185,99948,192133,TWN
288,2010,79669,86804,166473,TWN
289,2011,95400,102948,198348,TWN
290,2012,113114,121485,234599,TWN
291,2013,93807,101132,194939,TWN
292,2014,102131,109268,211399,TWN
293,2015,102293,110800,213093,TWN
294,2016,99980,107620,207600,TWN
295,2017,93755,100861,194616,TWN
296,2018,87299,93357,180656,TWN
297,2019,84262,90812,175074,TWN
