,Year,Age,Total_x,Cat_color,Country,Lat,Lon,step_year,combined,Mx,Births,mx,qx,ax,lx,dx,Lx,Tx,ex,ex_months,ex_date
0,2003,33,931378,indianred,KOR,36.61964032,127.849297,2003,KOR 33  TWN 33  JPN 42,0.000883,495036,0.00088,0.00088,0.5,98136,87,98093,4467318,45.52,546,2048
1,2004,33,920790,indianred,KOR,36.61964032,127.849297,2004,KOR 33  TWN 33  JPN 42,0.000824,476958,0.00082,0.00082,0.5,98353,81,98313,4514909,45.91,551,2049
2,2005,34,918299,indianred,KOR,36.61964032,127.849297,2005,KOR 34  TWN 34  JPN 43,0.000888,438707,0.00089,0.00089,0.5,98306,87,98262,4463477,45.4,545,2050
3,2006,34,942170,indianred,KOR,36.61964032,127.849297,2006,KOR 34  TWN 34  JPN 43,0.000729,451759,0.00073,0.00073,0.5,98455,72,98419,4517980,45.89,551,2051
4,2007,35,940969,indianred,KOR,36.61964032,127.849297,2007,KOR 35  TWN 35  JPN 43,0.000811,496822,0.00081,0.00081,0.5,98308,80,98268,4456173,45.33,544,2052
5,2008,36,940872,indianred,KOR,36.61964032,127.849297,2008,KOR 36  TWN 35  JPN 44,0.000937,465892,0.00094,0.00094,0.5,98323,92,98277,4408063,44.83,538,2052
6,2009,36,893279,indianred,KOR,36.61964032,127.849297,2009,KOR 36  TWN 36  JPN 44,0.00098,444849,0.00098,0.00098,0.5,98275,96,98227,4451582,45.3,544,2054
7,2010,37,893080,indianred,KOR,36.61964032,127.849297,2010,KOR 37  TWN 36  JPN 44,0.000981,470171,0.00098,0.00098,0.5,98240,96,98192,4369642,44.48,534,2054
8,2011,38,891530,indianred,KOR,36.61964032,127.849297,2011,KOR 38  TWN 37  JPN 45,0.001006,471265,0.00101,0.00101,0.5,98241,99,98191,4313245,43.9,527,2054
9,2012,38,890240,indianred,KOR,36.61964032,127.849297,2012,KOR 38  TWN 37  JPN 45,0.000945,484550,0.00095,0.00094,0.5,98345,93,98299,4328916,44.02,528,2056
10,2013,39,888648,indianred,KOR,36.61964032,127.849297,2013,KOR 39  TWN 38  JPN 45,0.001078,436455,0.00108,0.00108,0.5,98334,106,98281,4280830,43.53,522,2056
11,2014,39,853382,indianred,KOR,36.61964032,127.849297,2014,KOR 39  TWN 38  JPN 46,0.001049,435435,0.00105,0.00105,0.5,98380,103,98328,4324833,43.96,528,2057
12,2015,40,852835,indianred,KOR,36.61964032,127.849297,2015,KOR 40  TWN 39  JPN 46,0.001047,438420,0.00105,0.00105,0.5,98376,103,98324,4247957,43.18,518,2058
13,2016,41,851943,indianred,KOR,36.61964032,127.849297,2016,KOR 41  TWN 39  JPN 47,0.001151,406243,0.00115,0.00115,0.5,98314,113,98257,4180574,42.52,510,2058
14,2017,41,783776,indianred,KOR,36.61964032,127.849297,2017,KOR 41  TWN 40  JPN 47,0.000987,357771,0.00099,0.00099,0.5,98376,97,98327,4214505,42.84,514,2059
15,2018,42,783054,indianred,KOR,36.61964032,127.849297,2018,KOR 42  TWN 40  JPN 47,0.001103,326822,0.0011,0.0011,0.5,98237,108,98183,4119640,41.94,503,2059
16,2019,42,755036,indianred,KOR,36.61964032,127.849297,2019,KOR 42  TWN 41  JPN 48,0.001066,302676,0.00107,0.00107,0.5,98246,105,98193,4173429,42.48,510,2061
18,2020,43,754115,indianred,KOR,36.61964032,127.849297,2020,KOR 43  JPN 48,0.001089,272337,0.00109,0.00109,0.5,98172,107,98119,4092869,41.69,500,2061
19,2003,33,377459,darkseagreen,TWN,24.0580641,120.8575231,2020,JPN 48,0.001342,227447,0.00134,0.00134,0.5,97790,131,97725,4440506,45.41,545,2048
20,2004,33,374922,darkseagreen,TWN,24.0580641,120.8575231,,,0.001201,217685,0.0012,0.0012,0.5,97747,117,97688,4451081,45.54,546,2049
21,2005,34,374803,darkseagreen,TWN,24.0580641,120.8575231,,,0.001488,206465,0.00149,0.00149,0.5,97547,145,97475,4353596,44.63,536,2049
22,2006,34,364252,darkseagreen,TWN,24.0580641,120.8575231,,,0.001418,205720,0.00142,0.00142,0.5,97702,138,97632,4422390,45.26,543,2051
23,2007,35,364694,darkseagreen,TWN,24.0580641,120.8575231,,,0.001333,203711,0.00133,0.00133,0.5,97746,130,97680,4341818,44.42,533,2051
24,2008,35,353895,darkseagreen,TWN,24.0580641,120.8575231,,,0.001404,196486,0.0014,0.0014,0.5,97840,137,97771,4362525,44.59,535,2052
25,2009,36,353938,darkseagreen,TWN,24.0580641,120.8575231,,,0.001405,192133,0.00141,0.0014,0.5,97785,137,97716,4308385,44.06,529,2053
26,2010,36,354918,darkseagreen,TWN,24.0580641,120.8575231,,,0.00132,166473,0.00132,0.00132,0.5,97962,129,97898,4340472,44.31,532,2054
27,2011,37,355012,darkseagreen,TWN,24.0580641,120.8575231,,,0.001497,198348,0.0015,0.0015,0.5,97738,146,97664,4227339,43.25,519,2054
28,2012,37,355795,darkseagreen,TWN,24.0580641,120.8575231,,,0.001592,234599,0.00159,0.00159,0.5,97836,156,97758,4256524,43.51,522,2055
29,2013,38,355434,darkseagreen,TWN,24.0580641,120.8575231,,,0.001471,194939,0.00147,0.00147,0.5,97923,144,97851,4199827,42.89,515,2055
30,2014,38,361274,darkseagreen,TWN,24.0580641,120.8575231,,,0.001602,211399,0.0016,0.0016,0.5,97927,157,97848,4187817,42.76,513,2056
31,2015,39,360943,darkseagreen,TWN,24.0580641,120.8575231,,,0.00156,213093,0.00156,0.00156,0.5,97804,152,97728,4123674,42.16,506,2057
32,2016,39,417133,darkseagreen,TWN,24.0580641,120.8575231,,,0.001619,207600,0.00162,0.00162,0.5,97788,158,97709,4106131,41.99,504,2057
33,2017,40,416672,darkseagreen,TWN,24.0580641,120.8575231,,,0.001614,194616,0.00161,0.00161,0.5,97778,158,97699,4048688,41.41,497,2058
34,2018,40,383923,darkseagreen,TWN,24.0580641,120.8575231,,,0.001696,180656,0.0017,0.00169,0.5,97821,166,97738,4077377,41.68,500,2059
35,2019,41,383391,darkseagreen,TWN,24.0580641,120.8575231,,,0.001635,175074,0.00164,0.00163,0.5,97708,160,97628,3997224,40.91,491,2059
36,2003,42,1527673.44,lightsteelblue,JPN,36.51081449,138.8290246,,,0.001337,1123626,0.00134,0.00134,0.5,97893,131,97828,4023776,41.1,493,2044
37,2004,42,1519326.69,lightsteelblue,JPN,36.51081449,138.8290246,,,0.001356,1110762,0.00136,0.00136,0.5,97950,133,97883,4049677,41.34,496,2045
