,Year,Age,Total,Country,cat_color
0,2003,0,470251,KOR,indianred
1,2003,1,557596,KOR,indianred
2,2003,2,638559,KOR,indianred
3,2003,3,619744,KOR,indianred
4,2003,4,640894,KOR,indianred
5,2003,5,673758,KOR,indianred
6,2003,6,688504,KOR,indianred
7,2003,7,711597,KOR,indianred
8,2003,8,717392,KOR,indianred
9,2003,9,713730,KOR,indianred
10,2003,10,728082,KOR,indianred
11,2003,11,705289,KOR,indianred
12,2003,12,641836,KOR,indianred
13,2003,13,631991,KOR,indianred
14,2003,14,625685,KOR,indianred
15,2003,15,617015,KOR,indianred
16,2003,16,626408,KOR,indianred
17,2003,17,651533,KOR,indianred
18,2003,18,660637,KOR,indianred
19,2003,19,747541,KOR,indianred
20,2003,20,821620,KOR,indianred
21,2003,21,840384,KOR,indianred
22,2003,22,837211,KOR,indianred
23,2003,23,827596,KOR,indianred
24,2003,24,721923,KOR,indianred
25,2003,25,780381,KOR,indianred
26,2003,26,764207,KOR,indianred
27,2003,27,792623,KOR,indianred
28,2003,28,862386,KOR,indianred
29,2003,29,898540,KOR,indianred
30,2003,30,900105,KOR,indianred
31,2003,31,949681,KOR,indianred
32,2003,32,924788,KOR,indianred
33,2003,33,931378,KOR,indianred
34,2003,34,934568,KOR,indianred
35,2003,35,870633,KOR,indianred
36,2003,36,824978,KOR,indianred
37,2003,37,861726,KOR,indianred
38,2003,38,845289,KOR,indianred
39,2003,39,804484,KOR,indianred
40,2003,40,895374,KOR,indianred
41,2003,41,933979,KOR,indianred
42,2003,42,943265,KOR,indianred
43,2003,43,873797,KOR,indianred
44,2003,44,799399,KOR,indianred
45,2003,45,794920,KOR,indianred
46,2003,46,719396,KOR,indianred
47,2003,47,746383,KOR,indianred
48,2003,48,637576,KOR,indianred
49,2003,49,552684,KOR,indianred
50,2003,50,612904,KOR,indianred
51,2003,51,449401,KOR,indianred
52,2003,52,481079,KOR,indianred
53,2003,53,488393,KOR,indianred
54,2003,54,487064,KOR,indianred
55,2003,55,494392,KOR,indianred
56,2003,56,396656,KOR,indianred
57,2003,57,357349,KOR,indianred
58,2003,58,385480,KOR,indianred
59,2003,59,392676,KOR,indianred
60,2003,60,492011,KOR,indianred
61,2003,61,410628,KOR,indianred
62,2003,62,368961,KOR,indianred
63,2003,63,386652,KOR,indianred
64,2003,64,354360,KOR,indianred
65,2003,65,335101,KOR,indianred
66,2003,66,321367,KOR,indianred
67,2003,67,313278,KOR,indianred
68,2003,68,285729,KOR,indianred
69,2003,69,250715,KOR,indianred
70,2003,70,239043,KOR,indianred
71,2003,71,204554,KOR,indianred
72,2003,72,197470,KOR,indianred
73,2003,73,188449,KOR,indianred
74,2003,74,172173,KOR,indianred
75,2003,75,156538,KOR,indianred
76,2003,76,130358,KOR,indianred
77,2003,77,123079,KOR,indianred
78,2003,78,107858,KOR,indianred
79,2003,79,113576,KOR,indianred
80,2003,80,102149.52,KOR,indianred
81,2003,81,82633.79,KOR,indianred
82,2003,82,68361.39,KOR,indianred
83,2003,83,57494.69,KOR,indianred
84,2003,84,49100.32,KOR,indianred
85,2003,85,43424.62,KOR,indianred
86,2003,86,36657.79,KOR,indianred
87,2003,87,28789.56,KOR,indianred
88,2003,88,22976.29,KOR,indianred
89,2003,89,19259.08,KOR,indianred
90,2003,90,15474.88,KOR,indianred
91,2003,91,11727.27,KOR,indianred
92,2003,92,8624.57,KOR,indianred
93,2003,93,6472.64,KOR,indianred
94,2003,94,4802.49,KOR,indianred
95,2003,95,3279.68,KOR,indianred
96,2003,96,2194.94,KOR,indianred
97,2003,97,1471.61,KOR,indianred
98,2003,98,974.1,KOR,indianred
99,2003,99,711.14,KOR,indianred
100,2003,100,480.79,KOR,indianred
101,2003,101,300.47,KOR,indianred
102,2003,102,182.94,KOR,indianred
103,2003,103,108.69,KOR,indianred
104,2003,104,62.96,KOR,indianred
105,2003,105,34.68,KOR,indianred
106,2003,106,18.97,KOR,indianred
107,2003,107,9.86,KOR,indianred
108,2003,108,4.77,KOR,indianred
109,2003,109,2.37,KOR,indianred
110,2003,110,1.09,KOR,indianred
111,2004,0,469270,KOR,indianred
112,2004,1,492091,KOR,indianred
113,2004,2,558093,KOR,indianred
114,2004,3,638482,KOR,indianred
115,2004,4,620038,KOR,indianred
116,2004,5,640643,KOR,indianred
117,2004,6,673822,KOR,indianred
118,2004,7,688306,KOR,indianred
119,2004,8,710791,KOR,indianred
120,2004,9,716469,KOR,indianred
121,2004,10,712802,KOR,indianred
122,2004,11,727161,KOR,indianred
123,2004,12,704366,KOR,indianred
124,2004,13,640732,KOR,indianred
125,2004,14,631031,KOR,indianred
126,2004,15,624857,KOR,indianred
127,2004,16,615880,KOR,indianred
128,2004,17,625125,KOR,indianred
129,2004,18,650027,KOR,indianred
130,2004,19,659368,KOR,indianred
131,2004,20,746531,KOR,indianred
132,2004,21,819708,KOR,indianred
133,2004,22,838881,KOR,indianred
134,2004,23,835274,KOR,indianred
135,2004,24,825421,KOR,indianred
136,2004,25,719824,KOR,indianred
137,2004,26,778331,KOR,indianred
138,2004,27,761662,KOR,indianred
139,2004,28,789867,KOR,indianred
140,2004,29,859134,KOR,indianred
141,2004,30,894964,KOR,indianred
142,2004,31,896689,KOR,indianred
143,2004,32,945758,KOR,indianred
144,2004,33,920790,KOR,indianred
145,2004,34,926917,KOR,indianred
146,2004,35,930323,KOR,indianred
147,2004,36,866605,KOR,indianred
148,2004,37,821302,KOR,indianred
149,2004,38,857597,KOR,indianred
150,2004,39,840929,KOR,indianred
151,2004,40,800308,KOR,indianred
152,2004,41,891063,KOR,indianred
153,2004,42,928967,KOR,indianred
154,2004,43,938199,KOR,indianred
155,2004,44,868629,KOR,indianred
156,2004,45,794819,KOR,indianred
157,2004,46,790444,KOR,indianred
158,2004,47,715205,KOR,indianred
159,2004,48,742079,KOR,indianred
160,2004,49,633844,KOR,indianred
161,2004,50,549168,KOR,indianred
162,2004,51,609273,KOR,indianred
163,2004,52,446640,KOR,indianred
164,2004,53,477863,KOR,indianred
165,2004,54,485170,KOR,indianred
166,2004,55,483723,KOR,indianred
167,2004,56,491024,KOR,indianred
168,2004,57,393695,KOR,indianred
169,2004,58,354470,KOR,indianred
170,2004,59,382387,KOR,indianred
171,2004,60,389148,KOR,indianred
172,2004,61,487191,KOR,indianred
173,2004,62,406139,KOR,indianred
174,2004,63,364745,KOR,indianred
175,2004,64,381785,KOR,indianred
176,2004,65,349521,KOR,indianred
177,2004,66,330174,KOR,indianred
178,2004,67,316032,KOR,indianred
179,2004,68,307662,KOR,indianred
180,2004,69,279690,KOR,indianred
181,2004,70,245024,KOR,indianred
182,2004,71,233096,KOR,indianred
183,2004,72,198994,KOR,indianred
184,2004,73,191594,KOR,indianred
185,2004,74,182125,KOR,indianred
186,2004,75,165587,KOR,indianred
187,2004,76,149972,KOR,indianred
188,2004,77,124036,KOR,indianred
189,2004,78,116390,KOR,indianred
190,2004,79,101281,KOR,indianred
191,2004,80,101996.77,KOR,indianred
192,2004,81,94791.66,KOR,indianred
193,2004,82,76012.01,KOR,indianred
194,2004,83,62249.57,KOR,indianred
195,2004,84,51777.01,KOR,indianred
196,2004,85,43676.08,KOR,indianred
197,2004,86,38188.54,KOR,indianred
198,2004,87,31847.77,KOR,indianred
199,2004,88,24632.02,KOR,indianred
200,2004,89,19389.81,KOR,indianred
201,2004,90,15973.88,KOR,indianred
202,2004,91,12586.95,KOR,indianred
203,2004,92,9384.36,KOR,indianred
204,2004,93,6766.89,KOR,indianred
205,2004,94,4976.25,KOR,indianred
206,2004,95,3630.08,KOR,indianred
207,2004,96,2446.67,KOR,indianred
208,2004,97,1602.23,KOR,indianred
209,2004,98,1050.83,KOR,indianred
210,2004,99,692.32,KOR,indianred
211,2004,100,486.64,KOR,indianred
212,2004,101,301.21,KOR,indianred
213,2004,102,181.51,KOR,indianred
214,2004,103,106.17,KOR,indianred
215,2004,104,60.41,KOR,indianred
216,2004,105,33.38,KOR,indianred
217,2004,106,17.03,KOR,indianred
218,2004,107,8.69,KOR,indianred
219,2004,108,4.28,KOR,indianred
220,2004,109,1.85,KOR,indianred
221,2004,110,0.78,KOR,indianred
222,2005,0,451219,KOR,indianred
223,2005,1,490783,KOR,indianred
224,2005,2,493125,KOR,indianred
225,2005,3,558553,KOR,indianred
226,2005,4,639050,KOR,indianred
227,2005,5,620183,KOR,indianred
228,2005,6,641385,KOR,indianred
229,2005,7,673988,KOR,indianred
230,2005,8,687792,KOR,indianred
231,2005,9,710249,KOR,indianred
232,2005,10,715970,KOR,indianred
233,2005,11,712309,KOR,indianred
234,2005,12,726975,KOR,indianred
235,2005,13,703609,KOR,indianred
236,2005,14,640225,KOR,indianred
237,2005,15,630620,KOR,indianred
238,2005,16,624067,KOR,indianred
239,2005,17,615057,KOR,indianred
240,2005,18,624508,KOR,indianred
241,2005,19,649747,KOR,indianred
242,2005,20,658808,KOR,indianred
243,2005,21,745721,KOR,indianred
244,2005,22,819340,KOR,indianred
245,2005,23,838085,KOR,indianred
246,2005,24,834629,KOR,indianred
247,2005,25,824911,KOR,indianred
248,2005,26,719608,KOR,indianred
249,2005,27,777536,KOR,indianred
250,2005,28,760746,KOR,indianred
251,2005,29,788980,KOR,indianred
252,2005,30,857966,KOR,indianred
253,2005,31,893298,KOR,indianred
254,2005,32,894311,KOR,indianred
255,2005,33,943275,KOR,indianred
256,2005,34,918299,KOR,indianred
257,2005,35,924418,KOR,indianred
258,2005,36,927733,KOR,indianred
259,2005,37,864067,KOR,indianred
260,2005,38,818595,KOR,indianred
261,2005,39,854753,KOR,indianred
262,2005,40,838046,KOR,indianred
263,2005,41,797378,KOR,indianred
264,2005,42,887743,KOR,indianred
265,2005,43,925058,KOR,indianred
266,2005,44,934348,KOR,indianred
267,2005,45,865055,KOR,indianred
268,2005,46,791527,KOR,indianred
269,2005,47,786985,KOR,indianred
270,2005,48,712003,KOR,indianred
271,2005,49,738746,KOR,indianred
272,2005,50,630926,KOR,indianred
273,2005,51,546405,KOR,indianred
274,2005,52,606382,KOR,indianred
275,2005,53,444329,KOR,indianred
276,2005,54,475174,KOR,indianred
277,2005,55,482290,KOR,indianred
278,2005,56,480871,KOR,indianred
279,2005,57,487814,KOR,indianred
280,2005,58,390978,KOR,indianred
281,2005,59,351937,KOR,indianred
282,2005,60,379421,KOR,indianred
283,2005,61,385944,KOR,indianred
284,2005,62,482602,KOR,indianred
285,2005,63,401890,KOR,indianred
286,2005,64,360514,KOR,indianred
287,2005,65,377037,KOR,indianred
288,2005,66,344843,KOR,indianred
289,2005,67,325103,KOR,indianred
290,2005,68,310569,KOR,indianred
291,2005,69,301750,KOR,indianred
292,2005,70,274000,KOR,indianred
293,2005,71,239371,KOR,indianred
294,2005,72,227115,KOR,indianred
295,2005,73,193273,KOR,indianred
296,2005,74,185429,KOR,indianred
